International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
2020-012BG,45232,STARLINK-1235,93.25,53.06,437,430,0.0005209,,0.50
2020-012BH,45233,STARLINK-1238,95.59,53.05,548,546,0.0001797,,1.07
2020-012BK,45235,STARLINK-1246,95.59,53.06,548,546,0.0001306,,0.58
2020-012BL,45236,STARLINK-1247,95.59,53.05,548,546,0.0001411,,1.13
2020-012BM,45237,STARLINK-1270,95.59,53.05,548,546,0.0001722,,0.71
2020-019A,45360,STARLINK-1279,95.59,53.05,548,546,0.0001294,,0.75
2020-019B,45361,STARLINK-1301,95.59,53.05,548,546,0.0001128,,0.76
2020-019C,45362,STARLINK-1306,95.59,53.05,548,546,0.0001625,,0.78
2020-019E,45364,STARLINK-1313,90.94,53.00,325,317,0.0005956,,0.64
2020-019G,45366,STARLINK-1262,95.59,53.05,548,546,0.0001549,,0.66
2020-019H,45367,STARLINK-1273,95.59,53.05,548,546,0.0001294,,0.64
2020-019J,45368,STARLINK-1276,95.59,53.05,549,546,0.0002111,,0.67
2020-019K,45369,STARLINK-1277,95.59,53.05,548,546,0.0000996,,0.55
2020-019L,45370,STARLINK-1281,95.59,53.05,547,547,0.0000192,,0.55
2020-019P,45373,STARLINK-1295,95.47,53.05,543,539,0.0003056,,0.69
2020-019Q,45374,STARLINK-1300,95.59,53.05,548,546,0.0001401,,0.66
2020-019R,45375,STARLINK-1302,95.59,53.05,548,546,0.0001631,,0.58
2020-019S,45376,STARLINK-1304,95.59,53.05,548,546,0.0001594,,0.56
2020-019T,45377,STARLINK-1305,95.59,53.05,548,546,0.0001547,,0.73
2020-019V,45379,STARLINK-1319,95.59,53.05,548,546,0.0001340,,0.67
2020-019W,45380,STARLINK-1207,95.59,53.05,548,546,0.0001204,,0.61
2020-019X,45381,STARLINK-1258,95.59,53.05,548,546,0.0001284,,0.60
2020-019Z,45383,STARLINK-1266,95.59,53.05,548,546,0.0001368,,0.61
2020-019AA,45384,STARLINK-1267,95.59,53.05,548,546,0.0001164,,0.69
2020-019AC,45386,STARLINK-1272,95.59,53.05,548,547,0.0000934,,0.75
2020-019AD,45387,STARLINK-1274,95.59,53.05,548,546,0.0001306,,0.72
2020-019AE,45388,STARLINK-1280,95.59,53.05,548,546,0.0001640,,0.69
2020-019AF,45389,STARLINK-1283,95.59,53.05,548,546,0.0001157,,0.71
2020-019AG,45390,STARLINK-1284,95.59,53.05,548,546,0.0001484,,0.73
2020-019AK,45393,STARLINK-1291,95.59,53.05,548,547,0.0000922,,0.62
2020-019AL,45394,STARLINK-1292,95.59,53.05,548,546,0.0001165,,0.73
2020-019AM,45395,STARLINK-1297,95.59,53.05,548,546,0.0001361,,0.76
2020-019AN,45396,STARLINK-1303,95.59,53.05,548,547,0.0000809,,0.72
2020-019AP,45397,STARLINK-1307,95.59,53.05,548,546,0.0001572,,0.64
2020-019AQ,45398,STARLINK-1312,95.59,53.05,548,546,0.0000993,,0.71
2020-019AR,45399,STARLINK-1255,95.59,53.05,548,546,0.0001151,,0.60
2020-019AS,45400,STARLINK-1213,92.54,53.08,404,394,0.0006713,,0.97
2020-019AT,45401,STARLINK-1256,95.59,53.05,548,546,0.0001252,,0.73
2020-019AV,45403,STARLINK-1259,95.59,53.05,548,546,0.0001427,,0.78
2020-019AW,45404,STARLINK-1260,95.59,53.05,548,546,0.0001251,,0.77
2020-019AX,45405,STARLINK-1263,95.59,53.05,548,546,0.0001366,,0.72
2020-019AY,45406,STARLINK-1265,95.59,53.05,548,546,0.0001100,,0.65
2020-019AZ,45407,STARLINK-1275,93.61,53.05,453,449,0.0003453,,0.39
2020-019BA,45408,STARLINK-1278,95.59,53.05,548,546,0.0001056,,0.55
2020-019BB,45409,STARLINK-1282,95.59,53.05,548,546,0.0000980,,0.76
2020-019BD,45411,STARLINK-1293,95.59,53.05,548,546,0.0001239,,0.74
2020-019BE,45412,STARLINK-1296,95.59,53.05,548,546,0.0001271,,0.64
2020-019BF,45413,STARLINK-1298,95.59,53.05,548,546,0.0001131,,0.75
2020-019BG,45414,STARLINK-1309,95.59,53.05,548,546,0.0000921,,0.63
2020-019BH,45415,STARLINK-1316,95.59,53.05,548,546,0.0001045,,0.73
2020-019BJ,45416,STARLINK-1318,95.59,53.05,548,546,0.0001311,,0.63
2020-019BK,45417,STARLINK-1286,95.59,53.05,548,546,0.0001473,,0.63
2020-019BM,45419,STARLINK-1308,95.59,53.05,548,546,0.0001180,,0.70
2020-025A,45531,STARLINK-1329,95.59,53.05,548,546,0.0001252,,0.80
2020-025B,45532,STARLINK-1338,95.59,53.05,548,546,0.0001167,,0.85
2020-025D,45534,STARLINK-1341,95.59,53.05,548,546,0.0001279,,0.84
2020-025E,45535,STARLINK-1350,95.59,53.05,548,546,0.0001223,,0.82
2020-025F,45536,STARLINK-1352,95.58,53.05,547,545,0.0001469,,0.82
2020-025H,45538,STARLINK-1362,95.59,53.05,548,546,0.0001278,,0.82
2020-025K,45540,STARLINK-1368,95.59,53.05,548,546,0.0001224,,0.82
2020-025L,45541,STARLINK-1369,95.59,53.05,548,546,0.0001320,,0.81
2020-025M,45542,STARLINK-1371,95.59,53.05,548,546,0.0001292,,0.85
2020-025N,45543,STARLINK-1372,95.59,53.05,548,546,0.0001155,,0.81
2020-025P,45544,STARLINK-1373,95.59,53.05,548,546,0.0001187,,0.86
2020-025Q,45545,STARLINK-1374,95.59,53.05,548,546,0.0001284,,0.84
2020-025R,45546,STARLINK-1375,95.59,53.05,548,546,0.0001105,,0.83
2020-025T,45548,STARLINK-1378,95.59,53.05,548,546,0.0001246,,0.85
2020-025V,45550,STARLINK-1390,95.59,53.05,548,546,0.0001271,,0.81
2020-025W,45551,STARLINK-1294,95.59,53.05,548,546,0.0001242,,0.85
2020-025Y,45553,STARLINK-1323,95.59,53.05,548,546,0.0001314,,0.91
2020-025Z,45554,STARLINK-1325,95.36,53.05,537,535,0.0002116,,0.89
2020-025AA,45555,STARLINK-1327,95.59,53.05,548,546,0.0001251,,0.88
2020-025AB,45556,STARLINK-1334,95.59,53.05,548,546,0.0001333,,0.91
2020-025AC,45557,STARLINK-1336,95.59,53.05,548,546,0.0001106,,0.90
2020-025AD,45558,STARLINK-1342,95.59,53.05,548,546,0.0001208,,0.87
2020-025AF,45560,STARLINK-1346,95.59,53.05,548,546,0.0001219,,0.94
2020-025AH,45562,STARLINK-1354,92.62,53.06,404,402,0.0001211,,0.39
2020-025AJ,45563,STARLINK-1355,95.59,53.05,548,546,0.0001151,,0.88
2020-025AK,45564,STARLINK-1356,95.59,53.05,548,546,0.0001261,,0.88
2020-025AL,45565,STARLINK-1357,95.59,53.05,548,546,0.0001234,,0.89
2020-025AM,45566,STARLINK-1358,95.58,53.05,547,546,0.0001097,,0.87
2020-025AN,45567,STARLINK-1361,95.59,53.05,548,546,0.0001411,,0.86
2020-025AP,45568,STARLINK-1363,95.59,53.05,548,546,0.0001170,,0.85
2020-025AQ,45569,STARLINK-1366,95.59,53.05,548,546,0.0001304,,0.86
2020-025AR,45570,STARLINK-1376,95.59,53.05,548,546,0.0001625,,0.87
2020-025AT,45572,STARLINK-1320,95.53,53.05,545,543,0.0001473,,0.94
2020-025AU,45573,STARLINK-1321,95.59,53.05,548,546,0.0001228,,0.88
2020-025AX,45576,STARLINK-1328,95.59,53.05,548,546,0.0001273,,0.50
2020-025AZ,45578,STARLINK-1331,95.59,53.05,548,546,0.0001188,,0.50
2020-025BA,45579,STARLINK-1332,95.59,53.05,548,546,0.0001443,,1.03
2020-025BB,45580,STARLINK-1333,95.59,53.05,548,546,0.0001334,,0.90
2020-025BC,45581,STARLINK-1335,95.59,53.05,548,546,0.0001329,,0.89
2020-025BD,45582,STARLINK-1337,95.59,53.05,548,546,0.0001331,,0.93
2020-025BH,45586,STARLINK-1347,95.59,53.05,548,546,0.0001290,,0.94
2020-025BJ,45587,STARLINK-1349,95.59,53.05,548,546,0.0001427,,0.51
2020-025BK,45588,STARLINK-1360,95.48,53.05,543,541,0.0001712,,0.50
2020-025BL,45589,STARLINK-1364,95.59,53.05,548,546,0.0001209,,0.93
2020-025BM,45590,STARLINK-1365,95.59,53.05,548,546,0.0001227,,0.85
2020-035D,45660,STARLINK-1443,95.59,53.05,548,546,0.0001135,,0.93
2020-035E,45661,STARLINK-1444,93.43,53.06,446,439,0.0005003,,0.64
2020-035F,45662,STARLINK-1445,91.46,53.05,347,345,0.0001219,,0.64
2020-035G,45663,STARLINK-1446,95.32,53.05,536,532,0.0002962,,0.52
2020-035J,45665,STARLINK-1448,95.59,53.05,548,546,0.0001285,,0.53
2020-035K,45666,STARLINK-1449,93.62,53.04,456,447,0.0006379,,0.64
2020-035M,45668,STARLINK-1451,95.59,53.05,548,546,0.0001069,,0.52
2020-035N,45669,STARLINK-1452,95.59,53.05,548,546,0.0001300,,0.51
2020-035P,45670,STARLINK-1453,95.59,53.06,548,546,0.0001526,,0.58
2020-035Q,45671,STARLINK-1454,95.59,53.05,548,546,0.0001534,,0.50
2020-035S,45673,STARLINK-1456,95.59,53.05,548,546,0.0001698,,0.95
2020-035T,45674,STARLINK-1457,95.59,53.05,548,546,0.0001335,,0.95
2020-035U,45675,STARLINK-1458,95.59,53.05,548,546,0.0001314,,0.96
2020-035V,45676,STARLINK-1460,95.59,53.05,548,546,0.0001038,,0.92
2020-035W,45677,STARLINK-1392,95.59,53.05,548,546,0.0001475,,0.51
2020-035X,45678,STARLINK-1393,95.59,53.05,548,546,0.0001507,,0.98
