OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 150,2018-030J,2024-12-08T22:19:35.318496,14.34217448,.0001583,86.3985,162.5726,91.5291,268.6087,0,U,43257,999,35057,-.23073E-4,-.45E-6,0
IRIDIUM 143,2018-030K,2024-12-09T01:13:07.229568,14.34217428,.0001356,86.3992,162.5934,89.9766,270.1585,0,U,43258,999,35055,-.10784E-4,-.1E-6,0
IRIDIUM 161,2018-047C,2024-12-08T21:33:32.990400,14.43280651,.0002105,86.4475,320.5251,86.8211,273.3230,0,U,43478,999,34504,.30872E-3,.1059E-4,0
IRIDIUM 152,2018-047D,2024-12-08T22:53:21.882336,14.34221318,.0002328,86.3948,320.3614,84.7082,275.4379,0,U,43479,999,34290,.23213E-3,.67E-5,0
IRIDIUM 147,2018-047E,2024-12-08T23:02:30.321024,14.34217211,.0002543,86.3952,320.3542,88.5292,271.6195,0,U,43480,999,34290,.56276E-4,.177E-5,0
IRIDIUM 110,2018-047F,2024-12-08T21:31:10.298208,14.34217634,.0002612,86.3953,320.4580,82.0912,278.0580,0,U,43481,999,34288,.82495E-4,.251E-5,0
IRIDIUM 162,2018-047G,2024-12-08T23:04:19.393248,14.43281087,.000249,86.4474,320.3965,81.3577,278.7906,0,U,43482,999,34504,.30042E-3,.1031E-4,0
IRIDIUM 160,2018-061A,2024-12-08T21:53:38.501952,14.34217729,.0002224,86.3951,288.8096,89.3919,270.7532,0,U,43569,999,33378,-.10331E-4,-.9E-7,0
IRIDIUM 166,2018-061B,2024-12-08T22:30:09.977472,14.34218780,.000191,86.3951,288.7564,83.9945,276.1468,0,U,43570,999,33381,.11454E-3,.341E-5,0
IRIDIUM 158,2018-061C,2024-12-08T21:44:30.644736,14.34219168,.0002244,86.3952,288.7796,79.0152,281.1296,0,U,43571,999,33377,.26829E-3,.771E-5,0
IRIDIUM 165,2018-061D,2024-12-08T22:21:02.426976,14.34216670,.0002182,86.3954,288.8047,88.4184,271.7262,0,U,43572,999,33380,.97E-4,.291E-5,0
IRIDIUM 155,2018-061E,2024-12-08T21:26:14.377344,14.34220188,.0002048,86.3950,288.7172,77.4652,282.6773,0,U,43573,999,33376,.26957E-3,.775E-5,0
IRIDIUM 154,2018-061F,2024-12-08T22:39:18.525024,14.34217952,.0002212,86.3954,288.8021,88.0574,272.0875,0,U,43574,999,33382,.91218E-4,.275E-5,0
IRIDIUM 163,2018-061G,2024-12-08T22:11:54.504096,14.34218548,.0002257,86.3950,288.7425,80.9115,279.2336,0,U,43575,999,33379,.23557E-3,.68E-5,0
IRIDIUM 156,2018-061H,2024-12-08T21:35:22.015104,14.34221395,.0001849,86.3950,288.7603,77.3110,282.8293,0,U,43576,999,33378,.15952E-3,.467E-5,0
IRIDIUM 164,2018-061J,2024-12-08T22:48:26.299296,14.34214951,.000206,86.3954,288.7706,91.8213,268.3219,0,U,43577,999,33383,.50768E-4,.162E-5,0
IRIDIUM 159,2018-061K,2024-12-08T22:02:46.498272,14.34219016,.0002243,86.3952,288.7322,86.8728,273.2724,0,U,43578,999,33379,.24682E-3,.711E-5,0
IRIDIUM 180,2019-002A,2024-12-08T18:41:06.306144,14.34210571,.0002057,86.3993,225.6612,82.7465,277.3964,0,U,43922,999,30938,.34857E-4,.117E-5,0
IRIDIUM 176,2019-002B,2024-12-08T22:20:21.556320,14.72235712,.0003186,86.6117,225.6054,82.3267,277.8312,0,U,43923,999,31755,.36378E-3,.2318E-4,0
IRIDIUM 168,2019-002C,2024-12-08T21:52:53.570496,14.34224076,.0002111,86.3994,225.6670,83.5121,276.6315,0,U,43924,999,30938,.2202E-3,.637E-5,0
IRIDIUM 173,2019-002D,2024-12-09T04:16:31.188864,14.34219537,.0002085,86.3989,225.4675,81.3735,278.7697,0,U,43925,999,30941,.22477E-3,.649E-5,0
IRIDIUM 169,2019-002E,2024-12-09T03:03:47.726208,14.38620748,.0003066,86.4227,257.1034,48.8072,311.3390,0,U,43926,999,31042,.31559E-3,.985E-5,0
IRIDIUM 172,2019-002F,2024-12-08T18:04:34.819392,14.34220419,.0002145,86.3991,225.6511,86.8621,273.2821,0,U,43927,999,30935,.14626E-3,.429E-5,0
IRIDIUM 175,2019-002G,2024-12-08T20:34:44.560416,14.72247448,.0001357,86.1526,188.9660,44.6263,315.5063,0,U,43928,999,31753,.34873E-3,.2224E-4,0
IRIDIUM 171,2019-002H,2024-12-08T22:38:35.046816,14.34217071,.000163,86.3999,225.8164,89.3532,270.7851,0,U,43929,999,30937,.20722E-3,.6E-5,0
IRIDIUM 170,2019-002J,2024-12-08T22:29:15.110880,14.72259830,.0002387,86.6117,225.6081,79.6815,280.4671,0,U,43930,999,31756,.35742E-3,.2279E-4,0
IRIDIUM 167,2019-002K,2024-12-09T03:30:50.046912,14.34223204,.0001706,86.3991,225.5045,77.5522,282.5864,0,U,43931,999,30940,.22708E-3,.656E-5,0
IRIDIUM 181,2023-068S,2024-12-08T22:09:37.440000,14.43607191,.0001936,86.6854,287.7287,92.3795,267.7628,0,U,56726,999,8234,.30226E-3,.1044E-4,0
IRIDIUM 177,2023-068T,2024-12-08T18:32:29.596992,14.80226518,.0002184,86.1987,232.4457,78.5541,281.5925,0,U,56727,999,8420,.38813E-3,.2976E-4,0
IRIDIUM 174,2023-068U,2024-12-08T18:24:42.354432,14.80225162,.0002175,86.1992,232.5658,93.8243,266.3227,0,U,56728,999,8420,.43488E-3,.3331E-4,0
IRIDIUM 178,2023-068V,2024-12-08T19:54:15.173856,14.80239476,.0001829,86.5774,258.2643,95.1052,265.0379,0,U,56729,999,8421,.48477E-3,.3711E-4,0
IRIDIUM 179,2023-068W,2024-12-09T03:53:11.323968,14.80237875,.0002285,86.6780,264.4609,88.5796,271.5687,0,U,56730,999,8426,.47207E-3,.3614E-4,0
