International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
2005-017A,28649,IRS-P5 (CARTOSAT-1),96.72,97.59,603,601,0.0001187,,0.85
2005-018A,28654,NOAA 18,101.88,98.86,858,837,0.001468,,0.26
2005-019A,28659,DIRECTV 8,1436.09,0.02,35799,35774,0.0002972,*G,0.77
2005-022A,28702,GALAXY 28 (G-28),1436.1,1.98,35815,35759,0.0006656,*G,0.62
2005-024A,28737,SJ-7,95.28,97.77,546,519,0.0019627,,0.56
2005-028A,28786,THAICOM 4,1436.11,0.02,35797,35777,0.0002407,*G,0.79
2005-030A,28790,GALAXY 14 (G-14),1455.65,3.7,36179,36159,0.000235,*G,1.13
2005-031B,28810,REIMEI (INDEX),95.81,97.98,574,541,0.0023568,,0.27
2005-036A,28868,ANIK F1R,1436.09,3,35794,35779,0.0001876,*G,0.62
2005-038A,28874,NAVSTAR 57 (USA 183),717.95,55.31,20541,19822,0.0135292,,0.88
2005-041B,28885,SYRACUSE 3A,1436.11,3.34,35799,35775,0.0002806,*G,0.61
2005-043A,28890,BEIJING 1,98.43,98.22,695,673,0.001595,,0.22
2005-043D,28893,SINAH 1,98.4,98.22,693,671,0.0015816,,0.59
2005-043F,28895,CUBESAT XI-V,97.96,98.23,672,650,0.0015387,,0.58
2005-044A,28899,INMARSAT 4-F2,1436.11,4.44,35798,35776,0.0002641,*G,2
2005-046B,28903,SPACEWAY 2,1453.59,4.16,36135,36121,0.0001618,*G,0.61
2005-048A,28908,COSMOS 2416,114.69,82.47,1447,1436,0.0007031,,0.71
2005-049B,28912,METEOSAT-9 (MSG-2),1436.15,8.19,35789,35786,0.0000297,*G,0.74
2005-052A,28924,EUTELSAT 174A,1436.12,2.92,35813,35761,0.0006083,*G,0.64
2006-003A,28935,ECHOSTAR 10,1436.08,0.03,35792,35781,0.0001275,*G,0.89
2006-007A,28945,SPAINSAT,1436.08,0.05,35805,35768,0.0004435,*G,0.75
2006-007B,28946,EUTELSAT HOTBIRD 13E,1436.09,0.78,35795,35778,0.0002082,*G,0.24
2006-010A,29045,JCSAT-5A,1436.09,0.04,35793,35780,0.0001604,*G,0.79
